0.0,4.0,0.0,51.0,8.0,60.0,23.0,48.0,9.0,9.0,5.0,4.0,12.0,6.0,4.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,351.0
11.0,0.0,0.0,44.0,29.0,14.0,40.0,52.0,8.0,25.0,21.0,4.0,20.0,6.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,361.0
0.0,0.0,0.0,36.0,6.0,10.0,18.0,11.0,3.0,15.0,3.0,3.0,2.0,1.0,5.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0
0.0,0.0,0.0,30.0,9.0,15.0,39.0,13.0,14.0,13.0,8.0,3.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
13.0,1.0,1.0,36.0,26.0,22.0,33.0,48.0,17.0,18.0,12.0,6.0,4.0,17.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0
1.0,0.0,4.0,45.0,30.0,26.0,46.0,44.0,2.0,7.0,29.0,4.0,1.0,4.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0
3.0,1.0,0.0,19.0,24.0,27.0,11.0,40.0,18.0,34.0,7.0,6.0,3.0,31.0,23.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,307.0
0.0,0.0,0.0,100.0,26.0,29.0,12.0,22.0,14.0,6.0,25.0,6.0,10.0,2.0,16.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,355.0
12.0,1.0,0.0,60.0,20.0,13.0,25.0,35.0,15.0,21.0,13.0,4.0,6.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,304.0
0.0,0.0,0.0,54.0,9.0,40.0,26.0,21.0,35.0,21.0,10.0,29.0,17.0,2.0,12.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,360.0
1.0,1.0,1.0,32.0,15.0,26.0,45.0,43.0,27.0,11.0,9.0,6.0,11.0,13.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0
0.0,0.0,0.0,41.0,42.0,23.0,25.0,69.0,35.0,8.0,26.0,30.0,1.0,9.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,360.0
13.0,0.0,16.0,20.0,27.0,35.0,27.0,50.0,50.0,49.0,8.0,5.0,7.0,5.0,13.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0
1.0,0.0,21.0,11.0,3.0,3.0,4.0,7.0,1.0,15.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0
0.0,0.0,0.0,40.0,24.0,12.0,16.0,24.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
0.0,0.0,1.0,14.0,6.0,6.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
0.0,0.0,0.0,41.0,19.0,19.0,18.0,21.0,7.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0.0,0.0,0.0,30.0,13.0,7.0,11.0,13.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
0.0,0.0,0.0,24.0,15.0,12.0,12.0,10.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0
0.0,0.0,0.0,41.0,11.0,11.0,20.0,18.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0
